datetime,vis,sst,wind_gust
2024-06-13 18:00:00,24135.04,30.45,7.4
2024-06-13 19:00:00,24135.04,30.45,7.77
2024-06-13 20:00:00,17031.15,30.46,8.14
2024-06-13 21:00:00,17031.15,30.46,8.51
2024-06-13 22:00:00,17031.15,30.46,7.84
2024-06-13 23:00:00,24134.72,30.41,7.17
2024-06-14 00:00:00,24134.72,30.41,6.5
2024-06-14 01:00:00,24134.72,30.41,6.28
2024-06-14 02:00:00,24134.94,30.35,6.05
2024-06-14 03:00:00,24134.94,30.35,5.82
2024-06-14 04:00:00,24134.94,30.35,5.71
2024-06-14 05:00:00,24135.02,30.36,5.61
2024-06-14 06:00:00,24135.02,30.36,5.5
2024-06-14 07:00:00,24135.02,30.36,5.23
2024-06-14 08:00:00,21494.32,30.33,4.97
2024-06-14 09:00:00,21494.32,30.33,4.7
2024-06-14 10:00:00,21494.32,30.33,4.61
2024-06-14 11:00:00,24134.98,30.35,4.52
2024-06-14 12:00:00,24134.98,30.35,4.43
2024-06-14 13:00:00,24134.98,30.35,4.69
2024-06-14 14:00:00,24135.1,30.32,4.96
2024-06-14 15:00:00,24135.1,30.32,5.22
2024-06-14 16:00:00,24135.1,30.32,5.09
2024-06-14 17:00:00,24135.05,30.35,4.95
2024-06-14 18:00:00,24135.05,30.35,4.82
2024-06-14 19:00:00,24135.05,30.35,4.95
2024-06-14 20:00:00,14102.72,30.37,5.09
2024-06-14 21:00:00,14102.72,30.37,5.22
2024-06-14 22:00:00,14102.72,30.37,5.16
2024-06-14 23:00:00,24134.99,30.65,5.09
2024-06-15 00:00:00,24134.99,30.65,5.03
2024-06-15 01:00:00,24134.99,30.65,5.06
2024-06-15 02:00:00,24135.0,30.65,5.09
2024-06-15 03:00:00,24135.0,30.65,5.13
2024-06-15 04:00:00,24135.0,30.65,5.06
2024-06-15 05:00:00,24134.9,30.35,4.99
2024-06-15 06:00:00,24134.9,30.35,4.92
2024-06-15 07:00:00,24134.9,30.35,5.02
2024-06-15 08:00:00,24134.85,30.27,5.11
2024-06-15 09:00:00,24134.85,30.27,5.21
2024-06-15 10:00:00,24134.85,30.27,4.97
2024-06-15 11:00:00,24134.68,30.33,4.74
2024-06-15 12:00:00,24134.68,30.33,4.5
2024-06-15 13:00:00,24134.68,30.33,4.97
2024-06-15 14:00:00,15186.81,30.25,5.45
2024-06-15 15:00:00,15186.81,30.25,5.92
2024-06-15 16:00:00,15186.81,30.25,6.11
2024-06-15 17:00:00,5685.61,30.27,6.31
2024-06-15 18:00:00,5685.61,30.27,6.51
2024-06-15 19:00:00,5685.61,30.27,6.58
2024-06-15 20:00:00,17632.41,30.37,6.65
2024-06-15 21:00:00,17632.41,30.37,6.72
2024-06-15 22:00:00,17632.41,30.37,6.51
2024-06-15 23:00:00,24135.08,30.39,6.31
2024-06-16 00:00:00,24135.08,30.39,6.1
2024-06-16 01:00:00,24135.08,30.39,5.94
2024-06-16 02:00:00,23876.24,30.55,5.78
2024-06-16 03:00:00,23876.24,30.55,5.61
2024-06-16 04:00:00,23876.24,30.55,5.71
2024-06-16 05:00:00,24135.12,30.32,5.81
2024-06-16 06:00:00,24135.12,30.32,5.91
2024-06-16 07:00:00,24135.12,30.32,6.14
2024-06-16 08:00:00,24135.1,30.3,6.38
2024-06-16 09:00:00,24135.1,30.3,6.61
2024-06-16 10:00:00,24135.1,30.3,6.55
2024-06-16 11:00:00,24134.98,30.32,6.49
2024-06-16 12:00:00,24134.98,30.32,6.42
2024-06-16 13:00:00,24134.98,30.32,6.29
